mentions,sentiment
malam pergantian tahun lapangan trinati sorong selatan papua barat daya diwarnai pesta kembang api sebelumnya warga sempat menggelar doa lintas agama,Positif
kapolda papua barat irjen pol johnny eddizon isir mengumumkan pencarian kasat reskrim polres teluk bintuni akp tommy samuel marbun dihentikan,Netral
simon mengatakan keberhasilan polri menjaga stabilitas keamanan lepas kolaborasi tni salah satu contohnya kata berkat sinergitas tnipolri berhasil membebaskan pilot susi air kapten philip mark mehrtens disandera kelomp,Positif
fajarcoid papua menteri pertahanan ri sjafrie sjamsoeddin menggelar malam akrab tahun baru 2025 bersama prajurit tni papua selasa 31122024 acara diselenggarakan aula batalyon 754 dihadiri langsung 440 prajurit koop tni habema,Positif
kesempatan penuh semangat suka cita menyambut tahun baru 3000 prajurit lainnya bergabung online berbagai pos pedalaman papua,Positif
pangkogabwilhan iii melaporkan capaian signifikan selama operasi tahun 2024 tni berhasil melumpuhkan 107 anggota opm meratakan 31 anggota menangkap 10 tokoh danyon operasional,Positif
operasi menghasilkan perampasan 6 pucuk senjata penguasaan 12 markas opm keberhasilan dicapai melalui pembentukan satgas rajawali menerapkan konsep smart approach memadukan operasi militer pendekatan humanis masyarakat,Positif
kapolda papua irjen pol patrige rudolf renwarin memberikan refleksi akhir tahun 2024 polda papua selasa 31122024,Netral
kapolda papua irjen pol patrige rudolf renwarin memberikan refleksi akhir tahun 2024 polda papua selasa 31122024,Netral
jayapura kompascom aksi kelompok kriminal bersenjata kkb wilayah hukum kepolisian daerah polda papua diprediksi akan berlanjut tahun 2025,Negatif
ini dikatakan kepala polda papua inspektur jenderal polisi irjen pol patrige rudolf renwarin refleksi akhir tahun 2024 berlangsung mapolda papua selasa 31122024,Netral
quotkami prediksi aksi kkb akan berlanjut tahun 2025quot katanya,Negatif
mageabume puncak mediahabema ndash satgas yonif raider 323buaya putih kostrad salah satu satuan jajaran komando operasi habema papua tengah melaksanakan tugas operasi pengamanan perbatasan mobil ripng wilayah kabupaten puncak provinsi papua,Netral
intan jaya papua ndash suasana natal penuh kedamaian satgas yonif 509 kostrad dipimpin pasiter satgas lettu chk irawan suharto mengadakan kegiatan berbagi makanan gratis masyarakat tengah pelaksanaan patroli keamanan,Positif
berbekal semangat natal rasa peduli sesama prajurit membagikan makanan warga mereka temui sepanjang jalur patroli hanya momen juga dimanfaatkan mempererat hubungan tni masyarakat papua,Positif
jayapura direktur narkoba polda papua kombes alfian mengakui dua anggota polri ditangkap menggunakan narkotika jenis sabusabu nabire provinsi papua tengah,Negatif
memang benar ini polres nabire sedang menangani kasus anggota polri menggunakan narkoba jenis sabu salah satunya anggota polda papua brigadir ctac rekannya brigadir dp bertugas polda papua tengah,Negatif
quotkeduanya diamankan sejak tanggal 20 desember laluquot kata dirnarkoba polda papua kombes alfian jayapura selasa,Negatif
ditemui selasela refleksi akhir tahun dihadiri kapolda papua irjen pol patrige renwarin dirnarkoba mengatakan kasus tersebut terungkap anggota satuan narkoba polres nabire menyelidiki laporan masyarakat terkait paket berisi narko,Negatif
39keduanya dikenakan pasal 114 ayat 1 kedua pasal 112 ayat 1 ketiga pasal 127 ayat 1 huruf a undangundang ri nomor 35 tahun 2009 narkotika quotkata dirnarkoba polda papua kombes alfian,Negatif
itu kabid propam polda papua kombes rudi terpisah mengakui adanya anggota polri menggunakan narkotika jenis sabu,Negatif
keduanya menjalani pemeriksaan polres nabire saat sudah memiliki polda sendiri polda papua tengah akan berkoordinasi divisi propam mabes polri,Negatif
pasti selesai diperiksa satuan narkoba polres nabire pihaknya akan memeriksa bersangkutan kata kabid propam polda papua kombes rudi,Negatif
juga menyoroti kolaborasi sinergisitas polri tni salah satunya membuahkan keberhasilan pembebasan pilot susi air disandera kelompok kriminal bersenjata kkb papua,Positif
kapolri mengatakan operasi penyelamatan dilakukan memperhatikan keselamatan sandera maupun masyarakat berada tanah papua,Positif
liputan6com jakarta kapolri jenderal pol listyo sigit prabowo mengungkap kolaborasi tni polri keberhasilan menyelamatkan pilot susi air kapten philip mark mehrtens disandera kelompok kriminal bersenjata kkb papua,Positif
kapolri mengatakan operasi penyelamatan dilakukan memperhatikan keselamatan sandera maupun masyarakat berada tanah papua,Positif
sebaran bencana provinsi jumlah bencana tertinggi jawa timur mencatat 297 kejadian bencana provinsi seperti jawa barat 254 kejadian jawa tengah 211 kejadian sumatera utara 162 kejadian sulawesi selatan 122 kejadian me,Negatif
kesempatan tersebut ahy menyapa penumpang akan berangkat jakarta menuju berbagai kota termasuk surabaya makassar baubau ambon beberapa daerah papua,Positif
kbrn kaimana sebanyak 20 personel polres kaimana polda papua barat meraih kenaikan pangkat upacara berlangsung lapangan apel polres kaimana selasa 3112 acara tersebut dipimpin langsung kapolres kaimana akbp gadug kurniawan si,Positif
jayapura kompascom sebanyak 37 anggota tentara nasional indonesia tni kepolisian negara republik indonesia tnipolri gugur konflik bersenjata kelompok kriminal bersenjata kkb selama tahun 2024,Negatif
ini diungkapkan kepala kepolisian daerah kapolda papua inspektur jenderal polisi irjen pol patrige rudolf renwarin refleksi akhir tahun polda papua selasa 31122024,Netral
quotselama tahun 2024 37 anggota tnipolri gugur berjibaku kkbquot ungkapnya,Negatif
tahap awal nusron menyebut pihaknya bakal melakukan pembebasan lahan cetak sawah wilayah papua luasan mencapai 1 juta hektare,Positif
kapolri jenderal listyo sigit prabowo menyebut ada 24 jaringan kelompok kriminal bersenjata kkb aktif melakukan aksi teror papua kapolri jenderal pol listyo sigit prabowo menyampaikan paparan rilis akhir tahun 2024 mabes polri jakarta,Negatif
kapolri jenderal listyo sigit prabowo menyebut ada 24 jaringan kelompok kriminal bersenjata kkb aktif melakukan aksi teror papua,Negatif
listyo mengatakan jaringan kkb tersebut bahkan melakukan total 203 aksi gangguan keamanan ketertiban masyarakat kamtibmas wilayah papua selama tahun 2024,Negatif
juga menyapa penumpang akan berlayar jakarta menuju surabaya makassar baubau ambon hingga beberapa wilayah papua,Positif
itu tahun 2024 merupakan tahun perhelatan pon xxi acehsumut mana dki jakarta memiliki status juara bertahan peraih medali emas kategori 5on5 putra pon xx papua tahun 2020 lalu,Positif
menko ahy menyapa penumpang akan berlayar jakarta menuju surabaya makassar baubau ambon hingga beberapa wilayah papua,Positif
kapal pesiar ocean pure membawa 28 penumpang terbakar perairan raja ampat papua barat daya seluruh penumpang dilaporkan selamat,Positif
ldquokami hanya fokus perayaan juga memberikan perhatian khusus kegiatan ibadah pendekatan humanis proaktif menjadi prioritas dalam memastikan pengamanan berjalan lancarrdquo ungkap mantan kapolres biak papu,Positif
semarang kompascom pemerintah berencana membuka lahan pertanian seluas 3 juta hektare merauke papua selatan kurun waktu lima tujuh tahun,Positif
polisi menetapkan 8 dpo tambrauw papua barat daya dpo ada terlibat kasus pembakaran rumah hingga penembakan mobil patroli anggota brimob,Negatif
fondasi transformasi digital kemkomdigi mempercepat pembangunan infrastruktur digital wilayah 3t terdepan tertinggal terluar upaya dilakukan salah satu melalui pembangunan lebih 120 menara bts papua target menjangk,Positif
kesempatan tersebut ahy menyapa penumpang akan berlayar jakarta menuju surabaya makassar baubau ambon hingga beberapa wilayah papua,Positif
sejumlah penambang tradisional yahukimo dibunuh kelompok kriminal bersenjata kkb berhasil dievakuasi aparat gabungan tnipolri,Negatif
tribunnewscom jakarta kapolri jenderal listyo sigit prabowo menyoroti soal pemeliharaan keamanan ketertiban masyarakat kamtibmas wilayah papua khususnya soal kelompok kriminal bersenjata kkb,Negatif
hal berdasarkan data ada ada puluhan jaringan kkb aktif melakukan gangguan kamtibmas tersebut,Negatif
